org_name,org_code,division,district,upazila,org_lvl,LAT,LON,wt
Dharmapasha Upazila Health Complex,10002138,Sylhet,Sunamganj,Dharampasha,subdistrict,24.9034455,91.0056735,1970.8210065530034
Dhubaura Upazila Health Complex,10000355,Mymensingh,Mymensingh,Dhobaura,subdistrict,25.0902996,90.5137506,1771.6271312228803
Dhunat Upazila Health Complex,10001115,Rajshahi,Bogura,Dhunat,subdistrict,24.6916734,89.535905,4080.6117741402045
Dhupchachia Upazila Health Complex,10001117,Rajshahi,Bogura,Dhupchanchia,subdistrict,24.8761591,89.1723974,3172.3808027736795
Dighalia Upazila Health Complex,10001797,Khulna,Khulna,Dighalia,subdistrict,22.8730466,89.52459859999999,16794.97553268715
Dighinala Upazila Health Complex,10000973,Chattogram,Khagrachari,Dighinala,subdistrict,23.2495553,92.0666729,600.6947851736694
Dimla Upazila Health Complex. Nilphamari,10001442,Rangpur,Nilphamari,Dimla,subdistrict,26.1572451,88.92477269999999,3195.7006753309
Dinajpur 250 bed General Hospital,10001214,Rangpur,Dinajpur,Dinajpur Sadar,district,25.6258212,88.63687589999999,3084.1403116719325
Doarabazar Upazila Health Complex,10002143,Sylhet,Sunamganj,Dowarabazar,subdistrict,25.0428276,91.567837,3448.0917490464863
Dohar Upazila Health Complex,10000069,Dhaka,Dhaka,Dohar,subdistrict,23.6157665,90.12273909999999,3967.1862529353502
Domar Upazila Health Complex,10001450,Rangpur,Nilphamari,Domar,subdistrict,26.1140528,88.85360229999999,2983.028722968566
Dumki Upazila Health Complex,10002035,Barishal,Patuakhali,Dumki,subdistrict,22.4706533,90.3836524,3198.1532892410955
Dumuria Upazila Health Complex,10001799,Khulna,Khulna,Dumuria,subdistrict,22.8098382,89.4100684,7148.162807869444
Durgapur Upazila Health Complex,10000470,Rajshahi,Rajshahi,Durgapur,subdistrict,25.1282929,90.6786839,2024.977375026331
Durgapur Upazila Health Complex,10002304,Mymensingh,Netrakona,Durgapur,subdistrict,25.1282929,90.6786839,2024.977375026331
Fakirhat Upazila Health Complex,10001701,Khulna,Bagerhat,Fakirhat,subdistrict,22.7778718,89.70012779999999,3195.549446734744
Faridganj Upazila Health Complex,10000706,Chattogram,Chandpur,Faridganj,subdistrict,23.122725,90.7545435,6117.714648052787
Faridpur General Hospital,10000105,Dhaka,Faridpur,Faridpur Sadar,district,23.6049185,89.83647409999999,2919.158203803908
Faridpur Medical College Hospital,10000108,Dhaka,Faridpur,Faridpur Sadar,tertiary,23.5880489,89.8352342,2977.310780886669
Faridpur Upazila Health Complex,10001481,Rajshahi,Pabna,Faridpur,subdistrict,24.1605862,89.4570565,2994.0029007612907
Fatikchari Upazila Health Complex,10000781,Chattogram,Chattogram,Fatikchari,subdistrict,22.6366553,91.7952699,3164.792670011094
Fenchuganj Upazila Health Complex,10002181,Sylhet,Sylhet,Fenchuganj,subdistrict,24.6970174,91.93832689999999,3072.353850174173
Feni 250 Bed District Sadar Hospital,10000954,Chattogram,Feni,Feni Sadar,district,23.0159132,91.39758309999999,3657.4069501043373
Fulbari Upazila Health Complex,10001220,Rangpur,Dinajpur,Fulbari,subdistrict,25.5015095,88.9487077,3280.7881061535604
Fulbari Upazila Health Complex,10002235,Rangpur,Kurigram,Phulbari,subdistrict,25.5015095,88.9487077,3280.7881061535604
Fulbaria Upazila Health Complex,10000358,Mymensingh,Mymensingh,Fulbaria,subdistrict,24.6265478,90.2792457,6328.722805223891
Fulchari Upazila Health Complex,10001244,Rangpur,Gaibandha,Fulchhari,subdistrict,25.2480253,89.57703889999999,4898.541708291545
Fulgazi Upazila Health Complex,10000960,Chattogram,Feni,Fulgazi,subdistrict,23.1058338,91.4321219,4112.467764475888
Fultala Upazila Health Complex,10001801,Khulna,Khulna,Phultala,subdistrict,22.9572429,89.4807699,6089.38887172438
Gabtali Upazila Health Complex,10001122,Rajshahi,Bogura,Gabtali,subdistrict,24.878177,89.4492502,8555.275279718506
Gaibandha District Hospital,10001254,Rangpur,Gaibandha,Gaibandha Sadar,district,25.3259361,89.5493315,3989.9997741250577
Galachipa Upazila Health Complex,10002039,Barishal,Patuakhali,Galachipa,subdistrict,22.1659553,90.4204714,1133.8273907165544
Gangachara Upazila Health Complex,10001579,Rangpur,Rangpur,Gangachara,subdistrict,25.8544999,89.2219824,4483.949987069772
Gangni Upazila Health Complex,10001891,Khulna,Meherpur,Gangni,subdistrict,23.8163155,88.7443078,2863.0016930967586
Gazaria Upazila Health Complex,10000317,Dhaka,Munshiganj,Gazaria,subdistrict,23.5529662,90.65290999999999,3077.76277985107
Ghatail Upazila Health Complex,10000601,Dhaka,Tangail,Ghatail,subdistrict,24.4843994,89.97355449999999,5267.596037851111
Ghior Upazila Health Complex,10000281,Dhaka,Manikganj,Ghior,subdistrict,23.891514,89.87653,3484.771924030821
Ghoraghat Upazila Health Complex,10001224,Rangpur,Dinajpur,Ghoraghat,subdistrict,25.256138,89.2399243,1755.186464423095
Goalanda Upazila Health Complex,10000508,Dhaka,Rajbari,Goalanda,subdistrict,23.723911,89.7469229,2643.968539203293
Gobindaganj Upazila Health Complex,10001265,Rangpur,Gaibandha,Gobindaganj,subdistrict,25.1425361,89.38607449999999,3556.0450648487626
Godagari Upazila Health Complex,10001539,Rajshahi,Rajshahi,Godagari,subdistrict,24.3969518,88.4107301,3502.295845602276
Gofargaon Upazila Health Complex,10000369,Mymensingh,Mymensingh,Gaffargaon,subdistrict,24.4627428,90.54507319999999,5385.424403620748
Golapganj Upazila Health Complex,10002182,Sylhet,Sylhet,Golapganj,subdistrict,24.8321998,92.02894580000002,4703.428424550687
Gomastapur Upazila Health Complex,10001167,Rajshahi,Chapai Nawabganj,Gomastapur,subdistrict,24.8179161,88.3237791,3259.023168644189
Gopalganj 250 bed General Hospital,10002233,Dhaka,Gopalganj,Gopalganj Sadar,district,22.9982121,89.8190072,2058.5075734438583
Gopalpur Upazila Health Complex,10000607,Dhaka,Tangail,Gopalpur,subdistrict,24.5498899,89.92717809999999,5401.535093427609
Goshairhat Upazila Health Complex,10000546,Dhaka,Shariatpur,Gosairhat,subdistrict,23.078989,90.42886829999999,2535.316995099697
Gouripur Upazila Health Complex,10000373,Mymensingh,Mymensingh,Gauripur,subdistrict,24.7708597,90.5693264,4196.992801608596
Gournadi Upazila Health Complex,10001982,Barishal,Barishal,Gaurnadi,subdistrict,22.9619447,90.2259318,3184.9096187295286
Gowainghat Upazila Health Complex,10002186,Sylhet,Sylhet,Gowainghat,subdistrict,25.0895214,91.9798191,2562.4767205365642
Gurudashpur Upazila Health Complex,10001424,Rajshahi,Natore,Gurudaspur,subdistrict,24.3688168,89.2370634,2362.2178989466966
"Habiganj District Hospital, Habiganj",10002071,Sylhet,Habiganj,Habiganj Sadar,district,24.373323,91.41763999999999,3429.7240483947958
Haimchar Upazila Health Complex,10000708,Chattogram,Chandpur,Haimchar,subdistrict,23.0947534,90.6621859,4788.120985434914
Hakimpur Upazila Health Complex,10001226,Rangpur,Dinajpur,Hakimpur,subdistrict,25.2860578,89.012652,2539.2666668336633
Haluaghat Upazila Health Complex,10000379,Mymensingh,Mymensingh,Haluaghat,subdistrict,25.1183767,90.3386664,1976.0792028483684
Haripur Upazila Health Complex,10001673,Rangpur,Thakurgaon,Haripur,subdistrict,25.8336127,88.13245359999999,2020.8678235652033
Harirampur Upazila Health Complex,10000288,Dhaka,Manikganj,Harirampur,subdistrict,23.7426415,89.9756586,3487.051742378508
Hathazari Upazila Health Complex,10000786,Chattogram,Chattogram,Hathazari,subdistrict,22.5088437,91.804165,4762.78955415809
Hatibandha Upazila Health Complex,10001342,Rangpur,Lalmonirhat,Hatibandha,subdistrict,26.1217466,89.1411406,1732.8014948759803
Hatiya Upazila Health Complex,10001037,Chattogram,Noakhali,Hatiya,subdistrict,22.2876868,91.1415992,2517.127942813168
Hijla Upazila Health Complex,10001984,Barishal,Barishal,Hizla,subdistrict,22.928412,90.44125489999999,2882.0128814243767
Homna Upazila Health Complex,10000887,Chattogram,Cumilla,Homna,subdistrict,23.681142,90.7823501,3244.9011163935506
Hossainpur Upazila Health Complex,10000232,Dhaka,Kishoreganj,Hossainpur,subdistrict,24.417774,90.65625849999999,4236.706481896604
Indurkani Upazila Health Complex,10002069,Barishal,Pirojpur,Indurkani,subdistrict,22.4802276,89.96140369999999,2519.054128556317
Islampur Upazila Health Complex,10000196,Mymensingh,Jamalpur,Islampur,subdistrict,25.0778469,89.799385,4442.732518447321
Iswardi Upazila Health Complex,10001482,Rajshahi,Pabna,Ishwardi,subdistrict,24.1271941,89.0715208,2996.730978996113
Iswarganj Upazila Health Complex,10000383,Mymensingh,Mymensingh,Ishwarganj,subdistrict,24.68995,90.6109697,4614.780665970278
Itna Upazila Health Complex,10000234,Dhaka,Kishoreganj,Itna,subdistrict,24.5275596,91.09379469999999,1830.7727934397155
Jagannathpur Upazila Health Complex,10002149,Sylhet,Sunamganj,Jagannathpur,subdistrict,24.7789419,91.5634596,2578.900997452333
Jaintapur Upazila Health Complex,10002188,Sylhet,Sylhet,Jaintiapur,subdistrict,25.136217,92.12638249999999,2381.718392036376
Jaldhaka Upazila Health Complex,10001455,Rangpur,Nilphamari,Jaldhaka,subdistrict,26.0233955,89.0058327,3353.2138025952704
Jamalganj Upazila Health Complex,10002150,Sylhet,Sunamganj,Jamalganj,subdistrict,24.9983704,91.23606579999999,2842.0931755339493
Jamalpur 250 Beded General Hospital,10000208,Mymensingh,Jamalpur,Jamalpur Sadar,district,24.9407085,89.93395799999999,4729.794666432991
Jassore 250 bed General Hospital,10013096,Khulna,Jashore,Jashore Sadar,district,23.1687959,89.20915869999999,2237.244103735604
Jhalokathi District Hospital,10002025,Barishal,Jhalokathi,Jhalokathi Sadar,district,22.6863517,90.3614666,3225.4400958373176
Jhenaidah District Hospital,10001776,Khulna,Jhenaidah,Jhenaidah Sadar,district,23.5306696,89.17223659999999,2341.327013281129
Jhenaigati Upazila Health Complex,10000565,Mymensingh,Sherpur,Jhenaigati,subdistrict,25.1824278,90.0664437,3503.542873868576
Jhikargacha Upazila Health Complex,10001759,Khulna,Jashore,Jhikargacha,subdistrict,23.0999066,89.0991083,3491.2699685190914
Jibannagar Upazila Health Complex,10001734,Khulna,Chuadanga,Jibannagar,subdistrict,23.4266939,88.82359939999999,2303.9654765655378
Joypurhat District Hospital,10001298,Rajshahi,Joypurhat,Joypurhat Sadar,district,25.0916036,89.0489814,2241.7248037645304
Juraichari Upazila Health Complex,10001074,Chattogram,Rangamati,Juraichari,subdistrict,22.7244254,92.3805678,285.638129982961
