org_name,org_code,division,district,upazila,agency,org_type,org_func,org_lvl,lat,lon
Monoharganj Upazila Health Complex,10000897,Chattogram,Cumilla,Monoharganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.153882,91.058448
Muradnagar Upazila Health Complex,10000903,Chattogram,Cumilla,Muradnagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6401853,90.9317536
Nabinagar Upazila Health Complex,10000682,Chattogram,Brahmanbaria,Nabinagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8861958,90.9677571
Naikhongchari Upazila Health Complex,10000658,Chattogram,Bandarban,Naikhongchari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.4275365,92.1734243
Nangolkot Upazila Health Complex,10002223,Chattogram,Cumilla,Nangalkot,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.1709671,91.1986256
Naniarchar Upazila Health Complex,10001083,Chattogram,Rangamati,Naniarchar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.862167,92.1106617
Nasirnagar Upazila Health Complex,10000691,Chattogram,Brahmanbaria,Nasirnagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1938903,91.19561379999999
Noakhali 250 Bed General Hospital,10001049,Chattogram,Noakhali,Noakhali Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,22.8725498,91.08850179999999
Panchari Upazila Health Complex,10000988,Chattogram,Khagrachari,Panchhari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2964904,91.9002744
Parsuram Upazila Health Complex,10000961,Chattogram,Feni,Parshuram,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.211628,91.4449793
Patiya Upazila Health Complex,10000802,Chattogram,Chattogram,Patiya,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.2997122,91.970264
Pekua Upazila Health Complex,10000928,Chattogram,Cox's Bazar,Pekua,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.8155496,91.95391060000001
Raipur Upazila Health Complex,10001003,Chattogram,Lakshmipur,Roypur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0311867,90.7662052
Ramganj Upazila Health Complex,10001011,Chattogram,Lakshmipur,Ramganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0924019,90.8609381
Ramgarh Upazila Health Complex,10000991,Chattogram,Khagrachari,Ramgarh,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9878443,91.73918189999999
Ramgati Upazila Health Complex,10001019,Chattogram,Lakshmipur,Ramgati,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.6483641,90.9258133
Ramu Upazila Health Complex,10000931,Chattogram,Cox's Bazar,Ramu,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.4448546,92.1000821
Rangamati General Hospital,10001088,Chattogram,Rangamati,Rangamati Sadar,DGHS,General Hospital (not district hospital),Hospital/Clinic,District,22.6580983,92.1685304
Rangunia Upazila Health Complex,10000813,Chattogram,Chattogram,Rangunia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4226451,91.98652179999999
Raozan Upazila Health Complex,10000817,Chattogram,Chattogram,Raozan,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5172697,91.9298601
Rowangchari Upazila Health Complex,10000659,Chattogram,Bandarban,Rowangchari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.1784311,92.33769799999999
Ruma Upazila Health Complex,10000660,Chattogram,Bandarban,Ruma,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.0473551,92.40744049999999
Saharasthi Upazila Health Complex,10000727,Chattogram,Chandpur,Shahrasti,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2285233,90.94952889999999
Sandwip Upazila Health Complex,10000829,Chattogram,Chattogram,Sandwip,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5438922,91.4705992
Sarail Upazila Health Complex,10000694,Chattogram,Brahmanbaria,Sarail,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0713662,91.1182569
Satkania Upazila Health Complex,10000835,Chattogram,Chattogram,Satkania,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.0852863,92.054419
Senbag Upazila Health Complex,10001056,Chattogram,Noakhali,Senbagh,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9954916,91.2336158
Sitakunda Upazila Health Complex,10000838,Chattogram,Chattogram,Sitakunda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.6095985,91.664723
Sonagazi Upazila Health Complex,10000969,Chattogram,Feni,Sonagazi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8501032,91.39655979999999
Sonaimuri Upazila Health Complex,10001061,Chattogram,Noakhali,Sonaimuri,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0026044,91.0955188
Subarnachar Upazila Health Complex,10001064,Chattogram,Noakhali,Subarnachar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7056335,91.10667699999999
Teknaf Upazila Health Complex,10000934,Chattogram,Cox's Bazar,Teknaf,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,20.8753498,92.29659439999999
Thanchi Upazila Health Complex,10000661,Chattogram,Bandarban,Thanchi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.8238459,92.4386306
Titas Upazila Health Complex,10000914,Chattogram,Cumilla,Titas,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.595969,90.79633439999999
Ukhia Upazila Health Complex,10000939,Chattogram,Cox's Bazar,Ukhia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,21.2551704,92.1278782
Alfadanga Upazila Health Complex,10000085,Dhaka,Faridpur,Alfadanga,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2946288,89.7071758
Araihazar Upazila Health Complex,10000415,Dhaka,Narayanganj,Araihazar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7905186,90.6606522
Austagram Upazila Health Complex,10000223,Dhaka,Kishoreganj,Austagram,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2733317,91.1032314
Bajitpur Upazila Health Complex,10000227,Dhaka,Kishoreganj,Bajitpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2139055,90.96489319999999
Baliakandi Upazila Health Complex,10000505,Dhaka,Rajbari,Baliakandi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6320888,89.5494684
Bandar Upazila Health Complex,10000420,Dhaka,Narayanganj,Bandar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6290652,90.52533919999999
Basail Upazila Health Complex,10000581,Dhaka,Tangail,Basail,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2290094,90.05453469999999
Belabo Upazila Health Complex,10000436,Dhaka,Narsingdi,Belabo,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1066467,90.8514301
Bhairab Upazila Health Complex,10000230,Dhaka,Kishoreganj,Bhairab,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0640154,90.9868276
Bhanga Upazila Health Complex,10000089,Dhaka,Faridpur,Bhanga,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3827255,89.9810529
Bhedarganj Upazila Health Complex,10000541,Dhaka,Shariatpur,Bhedarganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.1977488,90.4476433
